index,emotion
0,0
1,2
2,0
3,0
4,0
5,0
6,1
7,1
8,2
9,2
10,1
11,1
12,0
13,3
14,0
15,4
16,0
17,0
18,0
19,3
20,3
21,0
22,3
23,3
24,1
25,3
26,4
27,4
28,3
29,1
30,0
31,3
32,3
33,1
34,0
35,2
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,2
66,2
67,0
68,0
69,0
70,2
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,1
82,0
83,3
84,3
85,3
86,3
87,0
88,0
89,3
90,1
91,0
92,0
93,2
94,2
95,0
96,0
97,0
98,0
99,0
100,1
101,3
102,0
103,1
104,0
105,3
106,0
107,0
108,2
109,0
110,0
111,0
112,2
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,2
122,0
123,0
124,0
125,0
126,0
127,0
128,2
129,1
130,1
131,1
132,2
133,0
134,0
135,0
136,0
137,0
138,0
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,2
154,2
155,3
156,2
157,2
158,2
159,0
160,0
161,2
162,2
163,2
164,2
165,2
166,0
167,0
168,2
169,3
170,3
171,0
172,0
173,2
174,0
175,2
176,2
177,2
178,2
179,2
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,2
189,2
190,0
191,1
192,2
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,2
202,0
203,0
204,0
205,0
206,1
207,2
208,0
209,1
210,2
211,0
212,0
213,1
214,3
215,2
216,1
217,0
218,0
219,3
220,1
221,2
222,1
223,0
224,0
225,1
226,3
227,3
228,2
229,2
230,2
231,0
232,0
233,2
234,0
235,0
236,3
237,0
238,0
239,0
240,0
241,3
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,2
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,2
260,1
261,0
262,0
263,1
264,2
265,2
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,2
278,1
279,0
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,4
291,0
292,0
293,2
294,0
295,1
296,0
297,0
298,3
299,0
300,3
301,0
302,3
303,1
304,2
305,2
306,0
307,0
308,1
309,0
310,2
311,2
312,1
313,0
314,0
315,2
316,0
317,3
318,0
319,2
320,0
321,2
322,0
323,0
324,4
325,0
326,3
327,3
328,0
329,1
330,2
331,1
332,0
333,2
334,3
335,2
336,0
337,2
338,0
339,3
340,2
341,3
342,1
343,0
344,1
345,0
346,2
347,2
348,2
349,0
350,0
351,4
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,2
365,3
366,0
367,0
368,0
369,0
370,2
371,3
372,0
373,0
374,0
375,0
376,3
377,3
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,2
386,3
387,2
388,3
389,0
390,0
391,2
392,2
393,1
394,0
395,0
396,0
397,4
398,0
399,0
400,3
401,0
402,4
403,0
404,0
405,1
406,1
407,0
408,3
409,1
410,0
411,0
412,3
413,0
414,4
415,0
416,0
417,3
418,0
419,0
420,1
421,0
422,1
423,3
424,1
425,0
426,0
427,0
428,0
429,0
430,3
431,1
432,1
433,1
434,0
435,1
436,3
437,1
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,4
448,1
449,3
450,0
451,1
452,0
453,1
454,2
455,2
456,0
457,2
458,0
459,2
460,0
461,0
462,1
463,2
464,2
465,0
466,0
467,0
468,0
469,0
470,2
471,2
472,3
473,3
474,2
475,2
476,2
477,2
478,0
479,2
480,2
481,1
482,0
483,0
484,1
485,0
486,0
487,3
488,3
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,3
497,3
498,0
499,2
500,0
501,0
502,4
503,0
504,1
505,0
506,0
507,4
508,0
509,0
510,3
511,0
512,0
513,4
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,1
533,4
534,0
535,3
536,2
537,2
538,0
539,1
540,0
541,2
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,2
551,4
552,0
553,0
554,0
555,0
556,0
557,1
558,0
559,2
560,0
561,0
562,0
563,2
564,0
565,0
566,0
567,4
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,2
581,2
582,2
583,2
584,2
585,2
586,0
587,0
588,2
589,0
590,1
591,0
592,0
593,4
594,0
595,3
596,2
597,3
598,0
599,0
600,0
601,2
602,0
603,1
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,4
612,3
613,2
614,2
615,0
616,0
617,0
618,0
619,3
620,0
621,0
622,0
623,0
624,0
625,0
626,2
627,1
628,1
629,0
630,0
631,2
632,2
633,0
634,0
635,3
636,3
637,1
638,0
639,1
640,2
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,3
650,0
651,1
652,3
653,0
654,1
655,0
656,1
657,1
658,0
659,0
660,1
661,1
662,2
663,0
664,3
665,1
666,1
667,0
668,0
669,2
670,0
671,3
672,0
673,0
674,0
675,1
676,0
677,2
678,0
679,2
680,2
681,1
682,2
683,0
684,0
685,0
686,2
687,1
688,0
689,0
690,0
691,2
692,2
693,0
694,0
695,2
696,0
697,0
698,4
699,0
700,0
701,0
702,3
703,0
704,0
705,2
706,1
707,4
708,0
709,0
710,0
711,0
712,2
713,3
714,2
715,1
716,0
717,2
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,3
730,0
731,0
732,0
733,0
734,0
735,2
736,0
737,1
738,0
739,1
740,0
741,1
742,2
743,1
744,0
745,1
746,0
747,0
748,0
749,0
750,2
751,2
752,0
753,0
754,2
755,0
756,2
757,0
758,0
759,0
760,0
761,2
762,1
763,2
764,0
765,1
766,4
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,2
775,3
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,2
784,1
785,3
786,1
787,0
788,2
789,0
790,0
791,0
792,4
793,0
794,1
795,2
796,1
797,3
798,1
799,0
800,2
801,0
802,1
803,0
804,0
805,0
806,0
807,2
808,0
809,1
810,2
811,1
812,3
813,1
814,0
815,2
816,1
817,1
818,0
819,0
820,0
821,0
822,0
823,1
824,2
825,3
826,2
827,0
828,0
829,0
830,0
831,0
832,2
833,0
834,2
835,0
836,0
837,3
838,2
839,0
840,0
841,0
842,0
843,0
844,2
845,0
846,0
847,2
848,1
849,2
850,2
851,4
852,2
853,1
854,1
855,1
856,1
857,1
858,1
859,0
860,0
861,2
862,1
863,2
864,2
865,4
866,2
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,2
875,1
876,2
877,2
878,4
879,2
880,1
881,1
882,1
883,1
884,1
885,0
886,3
887,1
888,1
889,0
890,2
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,3
901,0
902,3
903,2
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,3
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,0
925,1
926,2
927,0
928,2
929,0
930,2
931,0
932,2
933,0
934,1
935,2
936,0
937,0
938,1
939,0
940,0
941,2
942,0
943,2
944,1
945,1
946,1
947,1
948,1
949,0
950,3
951,0
952,3
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,2
963,2
964,2
965,0
966,0
967,3
968,1
969,1
970,1
971,1
972,1
973,2
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,0
983,0
984,0
985,2
986,0
987,0
988,3
989,4
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,1
998,0
999,4
1000,4
1001,0
1002,0
1003,1
1004,4
1005,0
1006,1
1007,1
1008,1
1009,3
1010,2
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,1
1018,0
1019,3
1020,0
1021,0
1022,2
1023,3
1024,0
1025,0
1026,3
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,3
1045,3
1046,1
1047,1
1048,0
1049,0
1050,0
1051,3
1052,0
1053,4
1054,0
1055,4
1056,4
1057,0
1058,3
1059,4
1060,0
1061,0
1062,0
1063,3
1064,4
1065,0
1066,0
1067,3
1068,1
1069,4
1070,2
1071,0
1072,0
1073,0
1074,0
1075,3
1076,0
1077,0
1078,2
1079,0
1080,0
1081,0
1082,0
1083,1
1084,3
1085,0
1086,2
1087,0
1088,1
1089,3
1090,0
1091,0
1092,2
1093,1
1094,1
1095,0
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,3
1104,3
1105,0
1106,1
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,2
1125,2
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,3
1134,2
1135,0
1136,0
1137,2
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,3
1161,0
1162,0
1163,3
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,1
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,1
1181,1
1182,0
1183,2
1184,2
1185,4
1186,3
1187,3
1188,3
1189,0
1190,0
1191,0
1192,0
1193,0
1194,3
1195,3
1196,0
1197,0
1198,0
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,1
1213,2
1214,0
1215,0
1216,0
1217,0
1218,0
1219,3
1220,0
1221,2
1222,4
1223,0
1224,0
1225,0
1226,1
1227,2
1228,0
1229,1
1230,0
1231,1
1232,3
1233,2
1234,1
